"Step","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"74","-759207.9902573301","-759207.9902573301","-759207.9902573301","-1213714.0382784759","-1213714.0382784759","-1213714.0382784759","-1628632.8189847597","-1628632.8189847597","-1628632.8189847597","-597962.31785545","-597962.31785545","-597962.31785545"
"75","-759257.7820599594","-759257.7820599594","-759257.7820599594","-1212819.0668215926","-1212819.0668215926","-1212819.0668215926","-1628752.1119993443","-1628752.1119993443","-1628752.1119993443","-597459.4857595008","-597459.4857595008","-597459.4857595008"
"76","-759389.5204258326","-759389.5204258326","-759389.5204258326","-1211136.7535561034","-1211136.7535561034","-1211136.7535561034","-1628041.435500831","-1628041.435500831","-1628041.435500831","-597002.5863068857","-597002.5863068857","-597002.5863068857"
"77","-759966.0772053672","-759966.0772053672","-759966.0772053672","-1209316.4346862878","-1209316.4346862878","-1209316.4346862878","-1627825.831538816","-1627825.831538816","-1627825.831538816","-597074.31789188","-597074.31789188","-597074.31789188"
"78","-759972.7221141147","-759972.7221141147","-759972.7221141147","-1207762.2276718742","-1207762.2276718742","-1207762.2276718742","-1627163.5336738639","-1627163.5336738639","-1627163.5336738639","-597503.0523694443","-597503.0523694443","-597503.0523694443"
"79","-759993.2784927782","-759993.2784927782","-759993.2784927782","-1206453.9900138993","-1206453.9900138993","-1206453.9900138993","-1626666.6069514824","-1626666.6069514824","-1626666.6069514824","-597054.0412503786","-597054.0412503786","-597054.0412503786"
"80","-760297.8861831364","-760297.8861831364","-760297.8861831364","-1205038.3975969802","-1205038.3975969802","-1205038.3975969802","-1625507.695176731","-1625507.695176731","-1625507.695176731","-596637.5951495036","-596637.5951495036","-596637.5951495036"
"81","-759871.7208180719","-759871.7208180719","-759871.7208180719","-1203693.5174003919","-1203693.5174003919","-1203693.5174003919","-1625556.2583603438","-1625556.2583603438","-1625556.2583603438","-596103.192332298","-596103.192332298","-596103.192332298"
"82","-759660.8967196784","-759660.8967196784","-759660.8967196784","-1202530.45796306","-1202530.45796306","-1202530.45796306","-1624560.5478820775","-1624560.5478820775","-1624560.5478820775","-595782.2729990861","-595782.2729990861","-595782.2729990861"
"83","-760061.8831611882","-760061.8831611882","-760061.8831611882","-1200824.0836780122","-1200824.0836780122","-1200824.0836780122","-1624191.010013463","-1624191.010013463","-1624191.010013463","-595345.4856331425","-595345.4856331425","-595345.4856331425"
